Title,URL,Volume Issue,Vol Issue Year
Quantifying and relating the completeness and diversity of process representations using species estimation,https://www.sciencedirect.com/science/article/pii/S0306437924001704,Volume 130,April 2025
Inductive link prediction via global relational semantic learning,https://www.sciencedirect.com/science/article/pii/S0306437924001728,Volume 130,April 2025
Revisiting explicit recommendation with DC-GCN: Divide-and-Conquer Graph Convolution Network,https://www.sciencedirect.com/science/article/pii/S0306437924001716,Volume 130,April 2025
On the use of trajectory data for tackling data scarcity,https://www.sciencedirect.com/science/article/pii/S0306437925000080,Volume 130,April 2025
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0306437925000043,Volume 129,March 2025
VOOL: A modular insight-based framework for vocalizing OLAP sessions,https://www.sciencedirect.com/science/article/pii/S0306437924001546,Volume 129,March 2025
The Open V2X Management Platform: An intelligent charging station management system,https://www.sciencedirect.com/science/article/pii/S0306437924001522,Volume 129,March 2025
Computation over APT compressed data,https://www.sciencedirect.com/science/article/pii/S0306437924001625,Volume 129,March 2025
TREATS: Fairness-aware entity resolution over streaming data,https://www.sciencedirect.com/science/article/pii/S0306437924001649,Volume 129,March 2025
Business Process Compliance with impact constraints,https://www.sciencedirect.com/science/article/pii/S0306437924001637,Volume 129,March 2025
"Approximate conformance checking: Fast computation of multi-perspective, probabilistic alignments",https://www.sciencedirect.com/science/article/pii/S0306437924001686,Volume 129,March 2025
Proactive event matching with predictive analysis in content-based publish/subscribe systems,https://www.sciencedirect.com/science/article/pii/S0306437924001662,Volume 129,March 2025
On the discovery of seasonal gradual patterns through periodic patterns mining,https://www.sciencedirect.com/science/article/pii/S0306437924001698,Volume 129,March 2025
Adaptive sliding window normalization,https://www.sciencedirect.com/science/article/pii/S030643792400173X,Volume 129,March 2025
"Bayesian label distribution propagation: A semi-supervised probabilistic
nearest neighbor classifier",https://www.sciencedirect.com/science/article/pii/S0306437924001650,Volume 129,March 2025
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0306437924001583,Volume 128,February 2025
Modeling higher-order social influence using multi-head graph attention autoencoder,https://www.sciencedirect.com/science/article/pii/S0306437924001327,Volume 128,February 2025
Exploiting explicit item–item correlations from knowledge graphs for enhanced sequential recommendation,https://www.sciencedirect.com/science/article/pii/S0306437924001285,Volume 128,February 2025
Emerging industry classification based on BERT model,https://www.sciencedirect.com/science/article/pii/S030643792400142X,Volume 128,February 2025
Explaining results of path queries on graphs: Single-path results for context-free path queries,https://www.sciencedirect.com/science/article/pii/S0306437924001339,Volume 128,February 2025
ExamGuard: Smart contracts for secure online test,https://www.sciencedirect.com/science/article/pii/S0306437924001431,Volume 128,February 2025
Soundness unknotted: An efficient soundness checking algorithm for arbitrary cyclic process models by loosening loops,https://www.sciencedirect.com/science/article/pii/S0306437924001340,Volume 128,February 2025
The composition diagram of a complex process: Enhancing understanding of hierarchical business processes,https://www.sciencedirect.com/science/article/pii/S0306437924001479,Volume 128,February 2025
A generative and discriminative model for diversity-promoting recommendation,https://www.sciencedirect.com/science/article/pii/S0306437924001467,Volume 128,February 2025
Two-level massive string dictionaries,https://www.sciencedirect.com/science/article/pii/S0306437924001480,Volume 128,February 2025
STracker: A framework for identifying sentiment changes in customer feedbacks,https://www.sciencedirect.com/science/article/pii/S0306437924001492,Volume 128,February 2025
Learning policies for resource allocation in business processes,https://www.sciencedirect.com/science/article/pii/S0306437924001509,Volume 128,February 2025
Hands-on analysis of using large language models for the auto evaluation of programming assignments,https://www.sciencedirect.com/science/article/pii/S0306437924001315,Volume 128,February 2025
Discovering partially ordered workflow models,https://www.sciencedirect.com/science/article/pii/S0306437924001510,Volume 128,February 2025
Runtime integration of machine learning and simulation for business processes: Time and decision mining predictions,https://www.sciencedirect.com/science/article/pii/S0306437924001303,Volume 128,February 2025
Editorial Board,https://www.sciencedirect.com/science/article/pii/S030643792400139X,Volume 127,January 2025
A universal approach for simplified redundancy-aware cross-model querying,https://www.sciencedirect.com/science/article/pii/S0306437924001145,Volume 127,January 2025
Electricity behaviors anomaly detection based on multi-feature fusion and contrastive learning,https://www.sciencedirect.com/science/article/pii/S0306437924001157,Volume 127,January 2025
Tri-AL: An open source platform for visualization and analysis of clinical trials,https://www.sciencedirect.com/science/article/pii/S0306437924001170,Volume 127,January 2025
Data Lakehouse: A survey and experimental study,https://www.sciencedirect.com/science/article/pii/S0306437924001182,Volume 127,January 2025
Using AI explainable models and handwriting/drawing tasks for psychological well-being,https://www.sciencedirect.com/science/article/pii/S0306437924001236,Volume 127,January 2025
Influence maximization based on discrete particle swarm optimization on multilayer network,https://www.sciencedirect.com/science/article/pii/S0306437924001248,Volume 127,January 2025
A framework for measuring the quality of business process simulation models,https://www.sciencedirect.com/science/article/pii/S0306437924001054,Volume 127,January 2025
Bridging reading and mapping: The role of reading annotations in facilitating feedback while concept mapping,https://www.sciencedirect.com/science/article/pii/S0306437924001169,Volume 127,January 2025
Making cyber-human systems smarter,https://www.sciencedirect.com/science/article/pii/S0306437924000863,Volume 127,January 2025
Special Issue of CAiSE 2023 Best Papers,https://www.sciencedirect.com/science/article/pii/S0306437924001273,Volume 127,January 2025
